,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181
2501,0.35200000000000004,0.6439999999999999,0.0,0.0,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9339999999999999,0.0,0.41600000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.312,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28800000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.582,0.0,0.0,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.406,0.0,0.0,0.0,0.0
2511,6.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,6.0,2.0,0.0,4.0,4.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,3.5060000000000002,0.0,4.0,2.0,0.0,0.0,0.0,9.067,0.0,8.0,0.0,0.0,0.0,28.0,0.0,2.0,7.0,6.0,0.0,21.333,5.0,6.0,12.0,5.0,4.0,8.0,1.067,0.0,10.5,4.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,6.067,0.0,0.0,2.0,0.0,0.0,8.0,2.0,0.0,4.0,0.0,6.0,0.0,1.067,0.0,0.0,6.0,5.0,0.0,3.0,2.916,0.0,4.0,0.0,4.332,0.0,0.0,3.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,17.0,2.0,2.0,4.254,0.0,0.132,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,2.0,0.0,0.0,2.5,0.0,0.5920000000000001,2.0,2.0,8.0,0.0,0.282,0.0,0.0,3.0,0.0,4.0,2.0,0.0,2.0,2.0,2.282,15.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,5.0,2.0,12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,2.0
2251,0.44799999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5379999999999999,0.0,0.682,0.0,0.0,0.0,0.0,0.0,0.0,0.134,0.0,0.0,0.0,0.0,0.33799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200,0.001,1.01,9.732,1.096,2.54,14.699000000000002,2.444,0.0,0.0,0.0,3.33,1.3439999999999999,0.6679999999999999,2.34,0.37799999999999995,1.4380000000000002,2.6140000000000003,4.096,3.0220000000000002,0.5920000000000001,1.776,0.0,0.0,6.406,1.58,3.715,2.544,3.86,0.8340000000000001,0.858,4.234,2.754,3.152,2.966,4.686,2.7560000000000002,2.7809999999999997,0.7020000000000001,0.0,0.358,7.3660000000000005,2.5540000000000003,1.8780000000000001,3.038,11.278,0.005,0.39799999999999996,2.9899999999999998,3.838,4.077999999999999,2.1500000000000004,6.394,1.002,8.026,6.32,3.9929999999999994,2.672,1.791,0.8650000000000001,0.0,3.017,5.048,0.0,0.408,4.106000000000001,1.081,6.002000000000001,2.356,4.1110000000000015,7.599,1.462,0.0,1.9409999999999998,3.5300000000000002,3.25,3.5629999999999997,1.905,2.3609999999999998,0.0,7.335999999999999,3.084,9.71,3.394,9.280000000000001,1.518,4.164,1.104,3.754,6.304,1.923,2.041,9.196000000000002,2.694,1.656,3.306,8.501999999999999,9.404,2.786,4.097,2.188,3.832,0.85,3.73,3.406,3.3160000000000003,3.968,0.0,1.392,1.986,2.974,3.4299999999999997,1.018,0.8220000000000001,5.572,3.302,0.001,0.92,6.7620000000000005,6.08,3.486,0.0,4.506,3.132,0.75,4.994000000000001,3.182,0.0,2.61,3.901,0.446,2.7539999999999996,5.274,0.0,0.0,1.568,0.792,3.806,1.952,0.397,1.7999999999999998,0.956,4.564,0.0,5.748,5.777,0.192,3.6820000000000004,2.852,1.212,5.318,3.8720000000000003,7.3180000000000005,1.012,4.173,1.9780000000000002,0.0,1.294,3.86,2.0,3.154,5.416,0.8,0.0,0.0,0.376,2.104,3.066,0.0,0.0,1.1320000000000001,2.598,0.502,0.45399999999999996,0.0,2.128,2.3819999999999997,1.27,2.002,0.641,0.42200000000000004,0.001,2.0100000000000002
2201,2.154,2.198,2.62,2.368,2.6679999999999997,14.695999999999998,0.818,0.0,1.1440000000000001,1.1420000000000001,1.514,4.389,5.864000000000001,3.2720000000000002,3.1960000000000006,3.9760000000000004,3.3280000000000003,1.07,1.994,1.58,8.874,1.043,0.0,2.7800000000000002,0.226,0.0,1.044,2.496,1.314,2.198,0.6579999999999999,0.67,0.9359999999999999,2.792,0.0,1.068,0.0,1.078,1.176,0.0,2.338,0.0,1.294,1.37,1.088,0.508,1.212,2.578,2.1260000000000003,0.0,0.0,1.226,1.0659999999999998,0.0,2.432,0.0,0.0,2.158,0.9420000000000001,2.378,0.0,2.796,2.436,0.0,1.964,0.0,0.66,0.0,0.782,0.0,0.0,0.8079999999999999,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342,0.0,1.1540000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522,0.0,0.0,0.344,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.664,0.72,0.0,0.0,0.442
2212,3.437,0.312,0.0,0.5539999999999999,0.0,1.3920000000000001,0.0,0.252,0.0,1.1320000000000001,0.262,0.652,0.68,0.5539999999999999,2.174,0.8220000000000001,3.2640000000000002,1.222,0.602,2.8040000000000003,3.6600000000000006,0.0,0.0,0.001,0.674,0.5880000000000001,0.0,0.0,0.0,0.27399999999999997,0.0,0.0,0.248,0.292,0.0,0.0,0.8760000000000001,0.0,0.11800000000000001,0.0,0.0,0.0,0.844,0.0,0.705,0.0,0.0,0.0,0.838,272.37,0.266,0.0,0.0,0.0,0.0,0.294,0.0,0.486,0.0,0.648,0.0,0.5539999999999999,0.168,0.0,0.0,0.0,0.306,0.0,0.0,0.0,0.086,0.0,0.0,0.23,0.0,0.001,0.41600000000000004,0.0,0.532,0.0,0.0,0.0,0.0,0.268,0.6000000000000001,0.0,0.0,0.368,0.09,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.6359999999999999,0.09,0.0,0.0,0.0,0.0,0.252,0.41600000000000004,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2210,6.281,0.0,2.6780000000000004,9.936,1.07,9.556,3.726,0.0,4.545999999999999,2.06,3.694,4.7860000000000005,0.47200000000000003,2.581,7.644,7.163,2.7379999999999995,5.4239999999999995,3.136,4.476,0.8320000000000001,7.166,0.0,2.144,5.606,1.718,3.15,1.434,0.3,3.556,2.9859999999999998,0.0,5.151999999999999,2.322,1.963,0.34,1.502,0.52,1.604,3.7840000000000003,1.996,1.4280000000000002,1.42,2.9939999999999998,1.294,1.222,0.542,3.676,0.5379999999999999,2.2359999999999998,6.324,3.138,1.214,3.928,0.268,2.438,3.8340000000000005,2.878,1.746,3.2259999999999995,4.3100000000000005,5.429,1.978,0.564,0.326,2.492,1.6139999999999999,2.92,3.12,4.138,0.39399999999999996,0.716,3.6900000000000004,2.6319999999999997,1.706,8.290000000000001,11.054000000000002,1.87,1.452,4.12,2.058,1.8359999999999999,1.13,3.91,2.872,5.1899999999999995,8.948,6.561999999999999,8.326,10.396,3.88,1.3159999999999998,0.696,0.638,0.34600000000000003,0.52,7.36,0.001,5.980000000000001,0.0,0.658,2.7359999999999998,1.6880000000000002,8.420000000000002,2.682,7.35,6.028,5.2540000000000004,0.0,2.556,4.238,7.3500000000000005,5.444000000000001,0.0,0.516,2.7159999999999997,3.8200000000000003,12.954,9.235999999999999,4.4350000000000005,2.846,8.168,7.156,4.614000000000001,3.296,5.544,1.268,7.532000000000001,14.91,5.162000000000001,2.894,2.304,2.5540000000000003,2.3,3.01,1.33,8.42,6.363999999999999,5.972,2.09,2.502,2.6660000000000004,7.034,9.041999999999998,7.1659999999999995,0.0,1.216,4.6240000000000006,0.6759999999999999,5.481999999999999,4.732,9.01,1.658,3.8420000000000005,1.818,1.8779999999999997,0.0,1.85,2.778,4.712,0.726,0.826,2.144,0.9059999999999999,2.512,1.1099999999999999,4.32,0.0,0.298,1.372,3.4000000000000004,0.0,2.606,6.69,3.0439999999999996,0.686,1.5579999999999998,1.9700000000000002,4.750000000000001,3.133,3.114,1.236
2730,0.9059999999999999,5.92,0.0,2.032,3.254,4.52,0.0,0.5820000000000001,2.056,0.294,0.0,0.746,0.0,0.0,2.3619999999999997,2.68,3.384,1.508,2.232,3.736,1.46,1.288,4.78,0.74,1.6720000000000002,0.0,2.476,0.0,0.0,1.54,2.3560000000000003,0.0,1.916,7.359999999999999,17.782,0.0,0.866,0.0,1.48,2.5,1.25,2.4560000000000004,2.682,1.258,1.496,0.0,0.14,2.262,1.7120000000000002,1.25,4.814,0.0,0.0,0.0,0.0,3.6799999999999997,0.0,1.6560000000000001,0.89,0.0,2.5,1.6179999999999999,7.944000000000001,0.904,5.24,0.0,0.0,0.0,0.0,1.25,1.6720000000000002,0.5760000000000001,0.0,0.158,1.25,1.8259999999999998,5.334,0.0,1.4500000000000002,2.5780000000000003,1.48,0.648,0.0,0.0,0.0,0.0,5.0,12.134,0.22,0.0,0.8140000000000001,9.93,0.0,11.602,0.0,0.0,10.82,0.672,5.47,12.0,5.322,0.604,5.0,5.304,1.572,0.0,1.03,5.0,0.0,0.442,0.366,0.484,10.154,5.356,5.0,0.266,4.25,1.424,0.0,5.904,0.0,5.0,11.062,1.0659999999999998,0.0,0.0,0.0,0.5640000000000001,1.3920000000000001,5.148,0.0,0.0,1.7959999999999998,11.072000000000001,5.1240000000000006,0.0,0.76,5.0,0.156,0.0,0.0,0.648,0.0,0.0,9.538000000000002,10.522,5.0,18.554000000000002,0.54,0.5579999999999999,0.114,5.0,1.6480000000000001,6.684,0.0,5.42,0.0,5.0,0.58,0.0,0.0,15.0,0.38,0.0,1.04,5.596,0.38,0.136,1.3299999999999998,0.512,0.916,0.0,5.886,9.0,10.182,0.11800000000000001,0.0,0.0,6.2059999999999995,15.56,0.0,10.381
2219,1.716,0.0,0.0,0.73,0.9039999999999999,1.166,0.0,0.40399999999999997,0.0,0.0,0.0,0.0,0.0,0.33,2.1180000000000003,0.0,0.0,0.0,0.89,1.266,0.0,0.5539999999999999,0.0,0.598,0.0,0.0,0.0,0.0,0.23800000000000002,0.0,0.0,0.0,0.0,2.012,0.414,0.0,0.35600000000000004,0.0,0.0,0.87,0.384,0.46799999999999997,0.0,0.0,0.0,0.98,0.0,0.0,0.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.804,0.0,0.0,0.0,0.534,0.0,0.0,0.0,0.0,0.342,0.0,0.39799999999999996,0.0,0.0,0.0,0.0,0.29,0.0,0.342,0.848,0.4,0.0,0.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20900000000000002,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.001
2311,88.0,24.0,215.49200000000002,44.0,86.0,60.0,2.0,2.474,10.0,88.448,0.0,12.0,42.0,165.0,208.0,10.0,0.0,128.0,25.334,30.0,143.8,10.368,0.0,31.0,0.0,14.0,176.14200000000002,75.0,31.0,155.0,0.0,12.0,13.0,292.8,105.0,2.0,25.0,32.0,76.0,0.37200000000000005,96.92999999999999,21.522,33.0,84.8,42.0,0.0,21.0,91.142,52.23,15.204,42.0,90.0,11.0,110.0,175.0,56.0,1.902,41.0,15.0,3.032,125.864,378.6,95.0,69.0,30.0,11.0,11.0,77.0,55.0,10.0,22.0,50.0,40.0,27.980000000000004,72.0,267.0,76.442,22.0,34.0,30.834,40.43,74.292,34.0,283.0,0.0,147.002,21.482,62.0,49.0,229.0,142.551,44.5,36.0,11.0,3.0,97.482,31.0,44.0,10.0,21.0,59.001,106.0,228.0,41.0,73.0,22.0,0.0,25.0,43.0,87.5,42.8,220.0,43.0,31.0,89.0,11.0,59.001,178.0,20.0,12.0,3.0,84.44500000000001,31.0,87.0,14.0,43.0,0.0,32.0,32.0,35.0,13.0,25.0,55.0,10.0,42.0,12.0,40.0,0.0,43.0,36.0,13.0,52.0,21.0,50.0,52.0,30.5,153.0,32.0,58.0,1.001,43.0,45.0,58.0,152.0,53.0,40.0,33.0,11.0,21.0,36.0,21.002,44.0,1.0,14.0,26.501,24.0,20.000999999999998,3.0,22.0,42.0,26.0,62.001,32.0,40.0,36.0,10.001999999999999,33.001,22.0,22.0,33.166,24.990000000000002,70.99000000000001
2217,0.28600000000000003,0.0,1.7000000000000002,0.118,0.28300000000000003,2.538,0.682,0.244,0.8,0.0,0.604,1.994,0.044000000000000004,0.47600000000000003,3.0280000000000005,1.002,0.392,0.674,0.136,1.6669999999999998,0.565,0.498,1.286,0.31,0.562,0.292,0.788,0.658,0.586,0.526,0.0,0.034,0.0,0.45399999999999996,0.0,0.001,1.756,0.0,0.314,0.306,0.874,0.302,0.0,0.24,0.73,0.512,0.0,0.24600000000000002,0.37200000000000005,0.0,0.0,0.001,0.364,0.21,0.252,0.196,0.0,0.0,0.5760000000000001,2.3760000000000003,0.7659999999999999,0.6940000000000001,0.434,0.308,0.924,0.56,0.0,0.414,0.0,0.5459999999999999,0.0,0.338,0.0,0.37799999999999995,0.891,0.305,0.298,0.824,0.798,0.752,0.326,0.876,0.0,0.27,0.0,0.14800000000000002,0.9339999999999999,1.3920000000000001,1.28,0.0,0.248,0.0,1.016,0.07,0.43,0.524,1.3940000000000001,0.0,0.6,0.0,0.092,0.0,0.0,1.2240000000000002,0.298,0.25,0.726,0.326,0.0,0.0,0.47200000000000003,1.048,1.7920000000000003,0.196,0.23600000000000002,0.0,0.0,1.624,0.6659999999999999,0.0,0.0,0.0,0.606,0.43000000000000005,0.0,0.55,1.036,0.5760000000000001,0.013000000000000001,0.6739999999999999,0.402,0.8400000000000001,0.0,0.37000000000000005,0.264,0.46399999999999997,1.29,0.0,0.442,0.0,0.0,0.114,0.28600000000000003,1.27,0.40399999999999997,1.196,0.0,0.0,0.358,0.0,0.272,0.0,0.638,0.308,0.41600000000000004,0.0,0.0,0.086,0.0,0.254,0.8340000000000001,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.684,0.0,0.324,0.316,0.0,0.0,0.26,0.0,0.0,0.0,0.43799999999999994,0.0
